Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
1960,TxBrd_P166_6571_DIO_31_HSD_LO_Voltage,123,2.9864,0.001,2.9851,2.988,0.0029,2.9824,2.9904,V
1970,TxBrd_P170_6571_DIO_1_HSD_LO_Voltage,123,2.9867,0.0011,2.9848,2.9883,0.0035,2.9823,2.9911,V
1980,TxBrd_P170_6571_DIO_2_HSD_LO_Voltage,123,2.9864,0.0011,2.9846,2.9881,0.0034,2.982,2.9908,V
1990,TxBrd_P170_6571_DIO_3_HSD_LO_Voltage,123,2.9868,0.0011,2.985,2.9885,0.0035,2.9824,2.9912,V
2000,TxBrd_P170_6571_DIO_5_HSD_LO_Voltage,123,2.9839,0.0002981,2.9832,2.9847,0.0015,2.9827076,2.9850924,V
2010,TxBrd_P170_6571_DIO_6_HSD_LO_Voltage,123,2.9831,0.0003155,2.9824,2.984,0.0016,2.981838,2.984362,V
2020,TxBrd_P170_6571_DIO_7_HSD_LO_Voltage,123,2.9834,0.0003048,2.9826,2.9841,0.0015,2.9821808,2.9846192,V
2030,TxBrd_P170_6571_DIO_9_HSD_LO_Voltage,123,2.9876,0.000913,2.9862,2.9893,0.0031,2.983948,2.991252,V
2040,TxBrd_P170_6571_DIO_10_HSD_LO_Voltage,123,2.987,0.000891,2.9857,2.9885,0.0028,2.983436,2.990564,V
2050,TxBrd_P170_6571_DIO_11_HSD_LO_Voltage,123,2.9874,0.0008661,2.986,2.9888,0.0029,2.9839356,2.9908644,V
2060,TxBrd_P170_6571_DIO_13_HSD_LO_Voltage,123,2.9859,0.0006367,2.9847,2.9872,0.0024,2.9833532,2.9884468,V
2070,TxBrd_P170_6571_DIO_14_HSD_LO_Voltage,123,2.9863,0.0006356,2.985,2.9877,0.0027,2.9837576,2.9888424,V
2080,TxBrd_P170_6571_DIO_15_HSD_LO_Voltage,123,2.9864,0.0005621,2.9854,2.9878,0.0024,2.9841516,2.9886484,V
2090,TxBrd_P170_6571_DIO_17_HSD_LO_Voltage,123,2.9869,0.0016,2.9847,2.9895,0.0048,2.9805,2.9933,V
2100,TxBrd_P170_6571_DIO_18_HSD_LO_Voltage,123,2.9869,0.0015,2.9844,2.9896,0.0052,2.9809,2.9929,V
2110,TxBrd_P170_6571_DIO_19_HSD_LO_Voltage,123,2.9866,0.0015,2.9842,2.9893,0.0051,2.9806,2.9926,V
2120,TxBrd_P170_6571_DIO_21_HSD_LO_Voltage,123,2.9888,0.0009128,2.987,2.9902,0.0033,2.9851488,2.9924512,V
2130,TxBrd_P170_6571_DIO_22_HSD_LO_Voltage,123,2.9889,0.0009135,2.9873,2.9906,0.0033,2.985246,2.992554,V
2140,TxBrd_P170_6571_DIO_23_HSD_LO_Voltage,123,2.9885,0.0008707,2.9869,2.9898,0.003,2.9850172,2.9919828,V
2150,TxBrd_P170_6571_DIO_25_HSD_LO_Voltage,123,2.9852,0.0017,2.9808,2.9877,0.0069,2.9784,2.992,V
2160,TxBrd_P170_6571_DIO_26_HSD_LO_Voltage,123,2.9858,0.0011,2.9839,2.9879,0.004,2.9814,2.9902,V
2170,TxBrd_P170_6571_DIO_27_HSD_LO_Voltage,123,2.9858,0.0012,2.984,2.9879,0.0039,2.981,2.9906,V
2180,TxBrd_P170_6571_DIO_29_HSD_LO_Voltage,123,2.9862,0.0008776,2.9847,2.9876,0.0029,2.9826896,2.9897104,V
2190,TxBrd_P170_6571_DIO_30_HSD_LO_Voltage,123,2.9859,0.001,2.9841,2.9875,0.0034,2.9819,2.9899,V
2200,TxBrd_P170_6571_DIO_31_HSD_LO_Voltage,123,2.9856,0.001,2.9838,2.9872,0.0033,2.9816,2.9896,V
2210,TxBrd_P146_6571_DIO_1_HSD_LO_Voltage,123,2.9863,0.0008648,2.9847,2.9877,0.003,2.9828408,2.9897592,V
2220,TxBrd_P146_6571_DIO_2_HSD_LO_Voltage,123,2.9864,0.0008637,2.985,2.9879,0.0029,2.9829452,2.9898548,V
2230,TxBrd_P146_6571_DIO_3_HSD_LO_Voltage,123,2.9862,0.0008468,2.9849,2.9877,0.0028,2.9828128,2.9895872,V
2240,TxBrd_P146_6571_DIO_5_HSD_LO_Voltage,123,2.986,0.0012,2.9839,2.9884,0.0045,2.9812,2.9908,V
2250,TxBrd_P146_6571_DIO_6_HSD_LO_Voltage,123,2.9858,0.0011,2.9837,2.988,0.0043,2.9814,2.9902,V
2260,TxBrd_P146_6571_DIO_7_HSD_LO_Voltage,123,2.9855,0.0011,2.9836,2.9877,0.0041,2.9811,2.9899,V
2270,TxBrd_P146_6571_DIO_9_HSD_LO_Voltage,123,2.987,0.0007431,2.9858,2.9883,0.0025,2.9840276,2.9899724,V
2280,TxBrd_P146_6571_DIO_10_HSD_LO_Voltage,123,2.9866,0.0007765,2.9853,2.9878,0.0025,2.983494,2.989706,V
2290,TxBrd_P146_6571_DIO_11_HSD_LO_Voltage,123,2.9863,0.0007592,2.9851,2.9876,0.0025,2.9832632,2.9893368,V
2300,TxBrd_P146_6571_DIO_13_HSD_LO_Voltage,123,2.9856,0.000991,2.9842,2.9872,0.003,2.981636,2.989564,V
2310,TxBrd_P146_6571_DIO_14_HSD_LO_Voltage,123,2.9865,0.001,2.985,2.9884,0.0034,2.9825,2.9905,V
2320,TxBrd_P146_6571_DIO_15_HSD_LO_Voltage,123,2.9862,0.001,2.9847,2.9881,0.0034,2.9822,2.9902,V
2330,TxBrd_P146_6571_DIO_17_HSD_LO_Voltage,123,2.9876,0.0002953,2.9869,2.9883,0.0014,2.9864188,2.9887812,V
2340,TxBrd_P146_6571_DIO_18_HSD_LO_Voltage,123,2.9872,0.000324,2.9867,2.9879,0.0012,2.985904,2.988496,V
2350,TxBrd_P146_6571_DIO_19_HSD_LO_Voltage,123,2.9875,0.0003521,2.9866,2.9883,0.0017,2.9860916,2.9889084,V
2360,TxBrd_P146_6571_DIO_21_HSD_LO_Voltage,123,2.989,0.0002464,2.9884,2.9895,0.0011,2.9880144,2.9899856,V
2370,TxBrd_P146_6571_DIO_22_HSD_LO_Voltage,123,2.9883,0.0002671,2.9874,2.9888,0.0014,2.9872316,2.9893684,V
2380,TxBrd_P146_6571_DIO_23_HSD_LO_Voltage,123,2.9883,0.0002692,2.9878,2.9892,0.0014,2.9872232,2.9893768,V
2390,TxBrd_P146_6571_DIO_25_HSD_LO_Voltage,123,2.9868,0.0005401,2.9856,2.988,0.0024,2.9846396,2.9889604,V
2400,TxBrd_P146_6571_DIO_26_HSD_LO_Voltage,123,2.987,0.0004276,2.9862,2.9878,0.0015,2.9852896,2.9887104,V
2410,TxBrd_P146_6571_DIO_27_HSD_LO_Voltage,123,2.9873,0.0004087,2.9864,2.9883,0.0019,2.9856652,2.9889348,V
2420,TxBrd_P146_6571_DIO_29_HSD_LO_Voltage,123,2.9867,0.0009883,2.985,2.9883,0.0034,2.9827468,2.9906532,V
2430,TxBrd_P146_6571_DIO_30_HSD_LO_Voltage,123,2.9861,0.0009189,2.9847,2.988,0.0033,2.9824244,2.9897756,V
2440,TxBrd_P146_6571_DIO_31_HSD_LO_Voltage,123,2.9862,0.0008908,2.9848,2.9878,0.003,2.9826368,2.9897632,V
2450,TxBrd_P154_6571_DIO_1_HSD_LO_Voltage,123,2.9868,0.0007689,2.9856,2.9881,0.0026,2.9837244,2.9898756,V
2460,TxBrd_P154_6571_DIO_2_HSD_LO_Voltage,123,2.9868,0.0008194,2.9855,2.9883,0.0028,2.9835224,2.9900776,V
2470,TxBrd_P154_6571_DIO_3_HSD_LO_Voltage,123,2.9867,0.0008198,2.9855,2.9879,0.0024,2.9834208,2.9899792,V
2480,TxBrd_P154_6571_DIO_5_HSD_LO_Voltage,123,2.9848,0.0013,2.9826,2.9872,0.0047,2.9796,2.99,V
2490,TxBrd_P154_6571_DIO_6_HSD_LO_Voltage,123,2.9846,0.0014,2.9825,2.987,0.0046,2.979,2.9902,V
2500,TxBrd_P154_6571_DIO_7_HSD_LO_Voltage,123,2.9837,0.001,2.9818,2.9856,0.0038,2.9797,2.9877,V
2510,TxBrd_P154_6571_DIO_9_HSD_LO_Voltage,123,2.9873,0.0013,2.9854,2.9893,0.004,2.9821,2.9925,V
2520,TxBrd_P154_6571_DIO_10_HSD_LO_Voltage,123,2.9868,0.0012,2.985,2.9887,0.0037,2.982,2.9916,V
2530,TxBrd_P154_6571_DIO_11_HSD_LO_Voltage,123,2.9868,0.0012,2.9849,2.9885,0.0036,2.982,2.9916,V
2540,TxBrd_P154_6571_DIO_13_HSD_LO_Voltage,123,2.9861,0.0005023,2.9852,2.9871,0.0019,2.9840908,2.9881092,V
2550,TxBrd_P154_6571_DIO_14_HSD_LO_Voltage,123,2.9851,0.0024,2.9821,2.988,0.0059,2.9755,2.9947,V
2560,TxBrd_P154_6571_DIO_15_HSD_LO_Voltage,123,2.9866,0.0005984,2.9854,2.9877,0.0023,2.9842064,2.9889936,V
2570,TxBrd_P154_DIO24_POOL_Open,123,5.8145,0.0106,5.8009,5.8258,0.025,5.7721,5.8569,V
2580,TxBrd_P154_DIO25_POOL_Open,123,5.8045,0.0086,5.7928,5.8141,0.0213,5.7701,5.8389,V
2590,TxBrd_P154_DIO26_POOL_Open,123,5.8127,0.0055,5.8057,5.8188,0.0131,5.7907,5.8347,V
2600,TxBrd_P154_DIO27_POOL_Open,123,5.8099,0.003,5.8053,5.8137,0.0084,5.7979,5.8219,V
2610,TxBrd_P154_DIO28_POOL_Open,123,5.8142,0.0031,5.8102,5.8186,0.0084,5.8018,5.8266,V
2620,TxBrd_P154_DIO29_POOL_Open,123,5.8178,0.0023,5.8136,5.8207,0.0071,5.8086,5.827,V
2630,TxBrd_P154_DIO30_POOL_Open,123,5.8161,0.0004664,5.815,5.8172,0.0022,5.8142344,5.8179656,V
2640,TxBrd_P154_DIO31_POOL_Open,123,5.8126,0.0007179,5.8107,5.8143,0.0037,5.8097284,5.8154716,V
2650,TxBrd_P154_DIO24_POOL_Grounded,123,0.0269,0.0009147,0.0256,0.0283,0.0027,0.0232412,0.0305588,V
2660,TxBrd_P154_DIO25_POOL_Grounded,123,0.0274,0.0004761,0.0265,0.0283,0.0018,0.0254956,0.0293044,V
2670,TxBrd_P154_DIO26_POOL_Grounded,123,0.026,0.0004514,0.0253,0.027,0.0017,0.0241944,0.0278056,V
2680,TxBrd_P154_DIO27_POOL_Grounded,123,0.0266,0.0004773,0.0257,0.0275,0.0018,0.0246908,0.0285092,V
2690,TxBrd_P154_DIO28_POOL_Grounded,123,0.0246,0.0003562,0.0238,0.0253,0.0015,0.0231752,0.0260248,V
2700,TxBrd_P154_DIO29_POOL_Grounded,123,0.025,0.000664,0.0236,0.0262,0.0026,0.022344,0.027656,V
2710,TxBrd_P154_DIO30_POOL_Grounded,123,0.0268,0.0006291,0.0258,0.0281,0.0023,0.0242836,0.0293164,V
2720,TxBrd_P154_DIO31_POOL_Grounded,123,0.0269,0.0003421,0.0261,0.0273,0.0012,0.0255316,0.0282684,V
2730,TxBrd_P154_DIO24_WinComp_Inside,123,-0.914,0.0023,-0.9168,-0.9114,0.0054,-0.9232,-0.9048,V
2740,TxBrd_P154_DIO25_WinComp_Inside,123,-0.9159,0.0014,-0.9176,-0.9142,0.0034,-0.9215,-0.9103,V
2750,TxBrd_P154_DIO26_WinComp_Inside,123,-0.9176,0.0001899,-0.9179,-0.9171,0.0008423,-0.9183596,-0.9168404,V
2760,TxBrd_P154_DIO27_WinComp_Inside,123,-0.9186,0.0006775,-0.9199,-0.9176,0.0022,-0.92131,-0.91589,V
2770,TxBrd_P154_DIO28_WinComp_Inside,123,-0.918,0.0008638,-0.9194,-0.917,0.0024,-0.9214552,-0.9145448,V
2780,TxBrd_P154_DIO29_WinComp_Inside,123,-0.9189,0.0005198,-0.9197,-0.918,0.0017,-0.9209792,-0.9168208,V
2790,TxBrd_P154_DIO30_WinComp_Inside,123,-0.9185,0.0008351,-0.9196,-0.917,0.0026,-0.9218404,-0.9151596,V
2800,TxBrd_P154_DIO31_WinComp_Inside,123,-0.9157,0.0003444,-0.9163,-0.9151,0.0012,-0.9170776,-0.9143224,V
2810,TxBrd_P154_DIO24_WinComp_Outside,123,-1.7119,0.0048,-1.7176,-1.7069,0.0107,-1.7311,-1.6927,V
2820,TxBrd_P154_DIO25_WinComp_Outside,123,-1.7159,0.0031,-1.7193,-1.7124,0.0069,-1.7283,-1.7035,V
2830,TxBrd_P154_DIO26_WinComp_Outside,123,-1.7177,0.0015,-1.7195,-1.7158,0.0037,-1.7237,-1.7117,V
2840,TxBrd_P154_DIO27_WinComp_Outside,123,-1.7199,0.0022,-1.7227,-1.7171,0.0057,-1.7287,-1.7111,V
2850,TxBrd_P154_DIO28_WinComp_Outside,123,-1.7165,0.0003075,-1.7173,-1.7158,0.0015,-1.71773,-1.71527,V
2860,TxBrd_P154_DIO29_WinComp_Outside,123,-1.7193,0.001,-1.721,-1.7176,0.0033,-1.7233,-1.7153,V
2870,TxBrd_P154_DIO30_WinComp_Outside,123,-1.7192,0.0016,-1.7215,-1.7169,0.0047,-1.7256,-1.7128,V
2880,TxBrd_P154_DIO31_WinComp_Outside,123,-1.714,0.0023,-1.7169,-1.7109,0.006,-1.7232,-1.7048,V
2890,TxBrd_HMOD1_Droop,123,0.0045,0.0002796,0.0039,0.0052,0.0013,0.0033816,0.0056184,V
2900,TxBrd_HMOD2_Droop,123,0.0045,0.0002667,0.0039,0.0051,0.0013,0.0034332,0.0055668,V
2910,TxBrd_HMOD3_Droop,123,0.0044,0.0002957,0.0038,0.0052,0.0014,0.0032172,0.0055828,V
2920,TxBrd_HMOD4_Droop,123,0.0045,0.0002549,0.0038,0.005,0.0012,0.0034804,0.0055196,V
2930,TxBrd_HMOD5_Droop,123,0.0044,0.0002856,0.0038,0.0052,0.0014,0.0032576,0.0055424,V
2940,TxBrd_HMOD6_Droop,123,0.0046,0.0002383,0.0039,0.0052,0.0012,0.0036468,0.0055532,V
2950,TxBrd_HMOD7_Droop,123,0.0045,0.0002723,0.0038,0.0052,0.0014,0.0034108,0.0055892,V
2960,TxBrd_HMOD8_Droop,123,0.0046,0.0003081,0.0038,0.0053,0.0014,0.0033676,0.0058324,V
2970,TxBrd_HMOD9_Droop,123,0.0045,0.0003088,0.0038,0.0052,0.0013,0.0032648,0.0057352,V
2980,TxBrd_HMOD10_Droop,123,0.0045,0.0002561,0.0041,0.0053,0.0012,0.0034756,0.0055244,V
2990,TxBrd_HMOD11_Droop,123,0.0045,0.0002668,0.0039,0.0051,0.0012,0.0034328,0.0055672,V
3000,TxBrd_HMOD12_Droop,123,0.0046,0.0003297,0.0039,0.0056,0.0017,0.0032812,0.0059188,V
3010,TxBrd_HMOD13_Droop,123,0.0045,0.0002496,0.0039,0.0051,0.0013,0.0035016,0.0054984,V
3020,TxBrd_HMOD14_Droop,123,0.0794,0.0038,0.0733,0.0847,0.0114,0.0642,0.0946,V
3030,TxBrd_HMOD15_Droop,123,0.0797,0.0037,0.0736,0.0848,0.0112,0.0649,0.0945,V
3040,TxBrd_HMOD16_Droop,123,0.0797,0.0037,0.0737,0.0849,0.0111,0.0649,0.0945,V
3050,TxBrd_HMOD17_Droop,123,0.0797,0.0037,0.0737,0.0847,0.011,0.0649,0.0945,V
3060,TxBrd_HMOD19_Droop,123,0.0798,0.0037,0.0737,0.0849,0.0112,0.065,0.0946,V
3070,TxBrd_HMOD20_Droop,123,0.0797,0.0038,0.0738,0.0851,0.0114,0.0645,0.0949,V
3080,TxBrd_HMOD21_Droop,123,0.0795,0.0035,0.0737,0.0844,0.0106,0.0655,0.0935,V
3090,TxBrd_HMOD22_Droop,123,0.0798,0.0037,0.0738,0.085,0.0112,0.065,0.0946,V
3100,TxBrd_HMOD23_Droop,123,0.0804,0.0039,0.0741,0.0859,0.0118,0.0648,0.096,V
