Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
470,TxBrd_DC30V_SL24_CH10_LO_Current,123,0.0009998,9.65E-08,0.0009997,0.001,3.29E-07,0.000999414,0.001000186,A
480,TxBrd_DC30V_SL24_CH12_LO_Current,123,0.0009998,6.00E-08,0.0009997,0.001,2.49E-07,0.00099956,0.00100004,A
490,TxBrd_DC30V_SL24_CH14_LO_Current,123,0.0009999,2.29E-08,0.0009998,0.0009999,1.02E-07,0.000999808,0.000999992,A
500,TxBrd_DC30V_SL24_CH16_LO_Current,123,0.0009998,8.26E-08,0.0009996,0.0009999,3.21E-07,0.00099947,0.00100013,A
510,TxBrd_DC30V_SL24_CH18_LO_Current,123,0.0009998,7.54E-08,0.0009997,0.001,2.63E-07,0.000999498,0.001000102,A
520,TxBrd_DC30V_SL24_CH20_LO_Current,123,0.0009998,1.08E-07,0.0009997,0.001,3.79E-07,0.000999368,0.001000232,A
530,TxBrd_DC30V_SL10_CH2_LO_Current,123,0.0009998,4.08E-08,0.0009997,0.0009999,1.75E-07,0.000999637,0.000999963,A
540,TxBrd_DC30V_SL10_CH4_LO_Current,123,0.0009998,6.01E-08,0.0009997,0.0009999,2.58E-07,0.00099956,0.00100004,A
550,TxBrd_DC30V_SL10_CH6_LO_Current,123,0.0009999,8.15E-08,0.0009997,0.001,2.82E-07,0.000999574,0.001000226,A
560,TxBrd_DC30V_SL10_CH8_LO_Current,123,0.0009999,3.75E-08,0.0009998,0.0009999,1.65E-07,0.00099975,0.00100005,A
570,TxBrd_DC30V_SL10_CH10_LO_Current,123,0.0009999,4.94E-08,0.0009998,0.001,2.07E-07,0.000999702,0.001000098,A
580,TxBrd_DC30V_SL10_CH12_LO_Current,123,0.0009998,5.11E-08,0.0009997,0.0009998,1.96E-07,0.000999596,0.001000004,A
590,TxBrd_DC30V_SL10_CH14_LO_Current,123,0.0009998,5.24E-08,0.0009996,0.0009999,2.13E-07,0.00099959,0.00100001,A
600,TxBrd_DC30V_SL10_CH16_LO_Current,123,0.0009998,1.08E-07,0.0009997,0.001,3.38E-07,0.000999366,0.001000234,A
610,TxBrd_DC30V_SL10_CH18_LO_Current,123,0.0009998,6.96E-08,0.0009997,0.001,2.30E-07,0.000999522,0.001000078,A
620,TxBrd_DC30V_SL10_CH20_LO_Current,123,0.0009998,1.01E-07,0.0009996,0.001,3.66E-07,0.000999397,0.001000203,A
630,TxBrd_DC30V_SL04_CH2_LO_Current,123,0.0009998,6.27E-08,0.0009997,0.0009999,2.45E-07,0.000999549,0.001000051,A
640,TxBrd_DC30V_SL04_CH4_LO_Current,123,0.0009999,5.74E-08,0.0009997,0.001,2.66E-07,0.00099967,0.00100013,A
650,TxBrd_DC30V_SL04_CH6_LO_Current,123,0.0009999,5.01E-08,0.0009998,0.001,1.98E-07,0.0009997,0.0010001,A
660,TxBrd_DC30V_SL04_CH8_LO_Current,123,0.0009998,1.68E-07,0.0009996,0.001,5.11E-07,0.000999129,0.001000471,A
670,TxBrd_DC30V_SL04_CH10_LO_Current,123,0.0009999,1.16E-07,0.0009998,0.001,3.72E-07,0.000999438,0.001000362,A
680,TxBrd_DC30V_SL04_CH12_LO_Current,123,0.0009999,1.05E-07,0.0009998,0.001,3.84E-07,0.000999482,0.001000318,A
690,TxBrd_DC30V_SL04_CH14_LO_Current,123,0.0009998,5.55E-08,0.0009998,0.0009999,1.98E-07,0.000999578,0.001000022,A
700,TxBrd_DC30V_SL04_CH16_LO_Current,123,0.0009998,5.10E-08,0.0009997,0.0009999,2.01E-07,0.000999596,0.001000004,A
710,TxBrd_DC30V_SL04_CH18_LO_Current,123,0.0009998,5.64E-08,0.0009997,0.0009999,2.13E-07,0.000999574,0.001000026,A
720,TxBrd_DC30V_SL04_CH20_LO_Current,123,0.0009998,3.29E-08,0.0009997,0.0009999,1.50E-07,0.000999668,0.000999932,A
730,TxBrd_DC90V_SL23_1A_Voltage,123,5,5.08E-07,5,5,2.90E-06,4.999997968,5.000002032,V
740,TxBrd_DC90V_SL23_2A_Voltage,123,5,5.44E-07,5,5,2.90E-06,4.999997825,5.000002175,V
750,TxBrd_DC90V_SL23_3A_Voltage,123,5,5.29E-07,5,5,3.30E-06,4.999997885,5.000002115,V
760,TxBrd_DC90V_SL23_4A_Voltage,123,5,5.02E-07,5,5,2.40E-06,4.999997994,5.000002006,V
770,TxBrd_DC90V_SL23_1B_Voltage,123,5,5.41E-07,5,5,2.90E-06,4.999997838,5.000002162,V
780,TxBrd_DC90V_SL23_2B_Voltage,123,5,0.000124,4.9996,5.0003,0.0006962,4.999504,5.000496,V
790,TxBrd_DC90V_SL23_3B_Voltage,123,5,5.36E-07,5,5,2.90E-06,4.999997857,5.000002143,V
800,TxBrd_DC90V_SL23_4B_Voltage,123,5,0.0001119,4.9998,5.0003,0.0005589,4.9995524,5.0004476,V
810,TxBrd_DC90_Relay1_Droop,123,0.0025,0.0002438,0.0017,0.0031,0.0014,0.0015248,0.0034752,V
820,TxBrd_DC90_Relay2_Droop,123,0.0026,0.0002232,0.0018,0.0032,0.0014,0.0017072,0.0034928,V
830,TxBrd_DC90_Relay3_Droop,123,0.0025,0.0002641,0.002,0.0033,0.0013,0.0014436,0.0035564,V
840,TxBrd_DC90_Relay4_Droop,123,0.0025,0.0002488,0.0019,0.0033,0.0014,0.0015048,0.0034952,V
850,TxBrd_DC90_Relay5_Droop,123,0.0025,0.000241,0.0019,0.0031,0.0012,0.001536,0.003464,V
860,TxBrd_DC90_Relay6_Droop,123,0.0025,0.0002217,0.002,0.0032,0.0012,0.0016132,0.0033868,V
870,TxBrd_DC90_Relay7_Droop,123,0.0025,0.0002345,0.0018,0.003,0.0013,0.001562,0.003438,V
880,TxBrd_DC90_Relay8_Droop,123,0.0025,0.0002541,0.0019,0.0031,0.0013,0.0014836,0.0035164,V
890,TxBrd_DC90_Relay9_Droop,123,0.0025,0.0002329,0.0019,0.003,0.0012,0.0015684,0.0034316,V
900,TxBrd_DC90_Relay10_Droop,123,0.0025,0.0002609,0.0018,0.0031,0.0014,0.0014564,0.0035436,V
910,TxBrd_DC90_Relay11_Droop,123,0.0025,0.00022,0.0019,0.003,0.0011,0.00162,0.00338,V
920,TxBrd_DC90_Relay12_Droop,123,0.0024,0.0002453,0.0017,0.003,0.0013,0.0014188,0.0033812,V
930,TxBrd_DC90_Relay13_Droop,123,0.0025,0.0002564,0.0018,0.0032,0.0014,0.0014744,0.0035256,V
940,TxBrd_DC90_Relay14_Droop,123,0.0025,0.0002638,0.0019,0.0035,0.0016,0.0014448,0.0035552,V
950,TxBrd_DC90_Relay15_Droop,123,0.0025,0.0002225,0.002,0.0032,0.0012,0.00161,0.00339,V
960,TxBrd_DC90_Relay16_Droop,123,0.0025,0.0002374,0.002,0.0032,0.0012,0.0015504,0.0034496,V
970,TxBrd_DC90_Relay17_Droop,123,0.0025,0.0002414,0.0018,0.0031,0.0012,0.0015344,0.0034656,V
980,TxBrd_DC90_Relay18_Droop,123,0.0025,0.0002339,0.002,0.0031,0.0011,0.0015644,0.0034356,V
990,TxBrd_DC90_Relay19_Droop,123,0.0025,0.0002375,0.0017,0.003,0.0014,0.00155,0.00345,V
1000,TxBrd_DC90_Relay20_Droop,123,0.0026,0.0002476,0.0019,0.0031,0.0012,0.0016096,0.0035904,V
