Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
440,TxBrd_DC30V_SL24_CH4_LO_Current,DC30V_SL24_CH4,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
450,TxBrd_DC30V_SL24_CH6_LO_Current,DC30V_SL24_CH6,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
460,TxBrd_DC30V_SL24_CH8_LO_Current,DC30V_SL24_CH8,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
470,TxBrd_DC30V_SL24_CH10_LO_Current,DC30V_SL24_CH10,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
480,TxBrd_DC30V_SL24_CH12_LO_Current,DC30V_SL24_CH12,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
490,TxBrd_DC30V_SL24_CH14_LO_Current,DC30V_SL24_CH14,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
500,TxBrd_DC30V_SL24_CH16_LO_Current,DC30V_SL24_CH16,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
510,TxBrd_DC30V_SL24_CH18_LO_Current,DC30V_SL24_CH18,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
520,TxBrd_DC30V_SL24_CH20_LO_Current,DC30V_SL24_CH20,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
530,TxBrd_DC30V_SL10_CH2_LO_Current,DC30V_SL10_CH2,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
540,TxBrd_DC30V_SL10_CH4_LO_Current,DC30V_SL10_CH4,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
550,TxBrd_DC30V_SL10_CH6_LO_Current,DC30V_SL10_CH6,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
560,TxBrd_DC30V_SL10_CH8_LO_Current,DC30V_SL10_CH8,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
570,TxBrd_DC30V_SL10_CH10_LO_Current,DC30V_SL10_CH10,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
580,TxBrd_DC30V_SL10_CH12_LO_Current,DC30V_SL10_CH12,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
590,TxBrd_DC30V_SL10_CH14_LO_Current,DC30V_SL10_CH14,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
600,TxBrd_DC30V_SL10_CH16_LO_Current,DC30V_SL10_CH16,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
610,TxBrd_DC30V_SL10_CH18_LO_Current,DC30V_SL10_CH18,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
