Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
1890,TxBrd_P166_6571_DIO_22_HSD_LO_Voltage,P166_6571_DIO_22,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1900,TxBrd_P166_6571_DIO_23_HSD_LO_Voltage,P166_6571_DIO_23,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1910,TxBrd_P166_6571_DIO_25_HSD_LO_Voltage,P166_6571_DIO_25,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1920,TxBrd_P166_6571_DIO_26_HSD_LO_Voltage,P166_6571_DIO_26,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1930,TxBrd_P166_6571_DIO_27_HSD_LO_Voltage,P166_6571_DIO_27,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1940,TxBrd_P166_6571_DIO_29_HSD_LO_Voltage,P166_6571_DIO_29,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1950,TxBrd_P166_6571_DIO_30_HSD_LO_Voltage,P166_6571_DIO_30,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1960,TxBrd_P166_6571_DIO_31_HSD_LO_Voltage,P166_6571_DIO_31,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1970,TxBrd_P170_6571_DIO_1_HSD_LO_Voltage,P170_6571_DIO_1,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1980,TxBrd_P170_6571_DIO_2_HSD_LO_Voltage,P170_6571_DIO_2,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
1990,TxBrd_P170_6571_DIO_3_HSD_LO_Voltage,P170_6571_DIO_3,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2000,TxBrd_P170_6571_DIO_5_HSD_LO_Voltage,P170_6571_DIO_5,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2010,TxBrd_P170_6571_DIO_6_HSD_LO_Voltage,P170_6571_DIO_6,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2020,TxBrd_P170_6571_DIO_7_HSD_LO_Voltage,P170_6571_DIO_7,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2030,TxBrd_P170_6571_DIO_10_HSD_LO_Voltage,P170_6571_DIO_10,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2040,TxBrd_P170_6571_DIO_11_HSD_LO_Voltage,P170_6571_DIO_11,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2050,TxBrd_P170_6571_DIO_13_HSD_LO_Voltage,P170_6571_DIO_13,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2060,TxBrd_P170_6571_DIO_14_HSD_LO_Voltage,P170_6571_DIO_14,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2070,TxBrd_P170_6571_DIO_15_HSD_LO_Voltage,P170_6571_DIO_15,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2080,TxBrd_P170_6571_DIO_17_HSD_LO_Voltage,P170_6571_DIO_17,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2090,TxBrd_P170_6571_DIO_18_HSD_LO_Voltage,P170_6571_DIO_18,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2100,TxBrd_P170_6571_DIO_19_HSD_LO_Voltage,P170_6571_DIO_19,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2110,TxBrd_P170_6571_DIO_21_HSD_LO_Voltage,P170_6571_DIO_21,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2120,TxBrd_P170_6571_DIO_22_HSD_LO_Voltage,P170_6571_DIO_22,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2130,TxBrd_P170_6571_DIO_23_HSD_LO_Voltage,P170_6571_DIO_23,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2140,TxBrd_P170_6571_DIO_25_HSD_LO_Voltage,P170_6571_DIO_25,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2150,TxBrd_P170_6571_DIO_26_HSD_LO_Voltage,P170_6571_DIO_26,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2160,TxBrd_P170_6571_DIO_27_HSD_LO_Voltage,P170_6571_DIO_27,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2170,TxBrd_P170_6571_DIO_29_HSD_LO_Voltage,P170_6571_DIO_29,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2180,TxBrd_P170_6571_DIO_30_HSD_LO_Voltage,P170_6571_DIO_30,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2190,TxBrd_P170_6571_DIO_31_HSD_LO_Voltage,P170_6571_DIO_31,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2200,TxBrd_P146_6571_DIO_1_HSD_LO_Voltage,P146_6571_DIO_1,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2210,TxBrd_P146_6571_DIO_2_HSD_LO_Voltage,P146_6571_DIO_2,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2220,TxBrd_P146_6571_DIO_3_HSD_LO_Voltage,P146_6571_DIO_3,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2230,TxBrd_P146_6571_DIO_5_HSD_LO_Voltage,P146_6571_DIO_5,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2240,TxBrd_P146_6571_DIO_6_HSD_LO_Voltage,P146_6571_DIO_6,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2250,TxBrd_P146_6571_DIO_7_HSD_LO_Voltage,P146_6571_DIO_7,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2260,TxBrd_P146_6571_DIO_9_HSD_LO_Voltage,P146_6571_DIO_9,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2270,TxBrd_P146_6571_DIO_10_HSD_LO_Voltage,P146_6571_DIO_10,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2280,TxBrd_P146_6571_DIO_11_HSD_LO_Voltage,P146_6571_DIO_11,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2290,TxBrd_P146_6571_DIO_13_HSD_LO_Voltage,P146_6571_DIO_13,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2300,TxBrd_P146_6571_DIO_14_HSD_LO_Voltage,P146_6571_DIO_14,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2310,TxBrd_P146_6571_DIO_15_HSD_LO_Voltage,P146_6571_DIO_15,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2320,TxBrd_P146_6571_DIO_17_HSD_LO_Voltage,P146_6571_DIO_17,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2330,TxBrd_P146_6571_DIO_18_HSD_LO_Voltage,P146_6571_DIO_18,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2340,TxBrd_P146_6571_DIO_19_HSD_LO_Voltage,P146_6571_DIO_19,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2350,TxBrd_P146_6571_DIO_21_HSD_LO_Voltage,P146_6571_DIO_21,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2360,TxBrd_P146_6571_DIO_22_HSD_LO_Voltage,P146_6571_DIO_22,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2370,TxBrd_P146_6571_DIO_23_HSD_LO_Voltage,P146_6571_DIO_23,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2380,TxBrd_P146_6571_DIO_25_HSD_LO_Voltage,P146_6571_DIO_25,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2390,TxBrd_P146_6571_DIO_26_HSD_LO_Voltage,P146_6571_DIO_26,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2400,TxBrd_P146_6571_DIO_27_HSD_LO_Voltage,P146_6571_DIO_27,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2410,TxBrd_P146_6571_DIO_29_HSD_LO_Voltage,P146_6571_DIO_29,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2420,TxBrd_P146_6571_DIO_30_HSD_LO_Voltage,P146_6571_DIO_30,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2430,TxBrd_P146_6571_DIO_31_HSD_LO_Voltage,P146_6571_DIO_31,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2440,TxBrd_P154_6571_DIO_1_HSD_LO_Voltage,P154_6571_DIO_1,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2450,TxBrd_P154_6571_DIO_2_HSD_LO_Voltage,P154_6571_DIO_2,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2460,TxBrd_P154_6571_DIO_3_HSD_LO_Voltage,P154_6571_DIO_3,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2470,TxBrd_P154_6571_DIO_5_HSD_LO_Voltage,P154_6571_DIO_5,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2480,TxBrd_P154_6571_DIO_6_HSD_LO_Voltage,P154_6571_DIO_6,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2490,TxBrd_P154_6571_DIO_7_HSD_LO_Voltage,P154_6571_DIO_7,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2500,TxBrd_P154_6571_DIO_9_HSD_LO_Voltage,P154_6571_DIO_9,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2510,TxBrd_P154_6571_DIO_10_HSD_LO_Voltage,P154_6571_DIO_10,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2520,TxBrd_P154_6571_DIO_11_HSD_LO_Voltage,P154_6571_DIO_11,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2530,TxBrd_P154_6571_DIO_13_HSD_LO_Voltage,P154_6571_DIO_13,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2540,TxBrd_P154_6571_DIO_14_HSD_LO_Voltage,P154_6571_DIO_14,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2550,TxBrd_P154_6571_DIO_15_HSD_LO_Voltage,P154_6571_DIO_15,HSD_LO_Voltage,2.5,3.5,,V,,Numeric Limit,,
2560,TxBrd_P154_DIO24_POOL_Open,P154_6571_DIO_24,POOL_Open,3,6,,V,,Numeric Limit,,
2570,TxBrd_P154_DIO25_POOL_Open,P154_6571_DIO_25,POOL_Open,3,6,,V,,Numeric Limit,,
2580,TxBrd_P154_DIO26_POOL_Open,P154_6571_DIO_26,POOL_Open,3,6,,V,,Numeric Limit,,
2590,TxBrd_P154_DIO27_POOL_Open,P154_6571_DIO_27,POOL_Open,3,6,,V,,Numeric Limit,,
2600,TxBrd_P154_DIO28_POOL_Open,P154_6571_DIO_28,POOL_Open,3,6,,V,,Numeric Limit,,
2610,TxBrd_P154_DIO29_POOL_Open,P154_6571_DIO_29,POOL_Open,3,6,,V,,Numeric Limit,,
2620,TxBrd_P154_DIO30_POOL_Open,P154_6571_DIO_30,POOL_Open,3,6,,V,,Numeric Limit,,
2630,TxBrd_P154_DIO31_POOL_Open,P154_6571_DIO_31,POOL_Open,3,6,,V,,Numeric Limit,,
2640,TxBrd_P154_DIO24_POOL_Grounded,P154_6571_DIO_24,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2650,TxBrd_P154_DIO25_POOL_Grounded,P154_6571_DIO_25,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2660,TxBrd_P154_DIO26_POOL_Grounded,P154_6571_DIO_26,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2670,TxBrd_P154_DIO27_POOL_Grounded,P154_6571_DIO_27,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2680,TxBrd_P154_DIO28_POOL_Grounded,P154_6571_DIO_28,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2690,TxBrd_P154_DIO29_POOL_Grounded,P154_6571_DIO_29,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2700,TxBrd_P154_DIO30_POOL_Grounded,P154_6571_DIO_30,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2710,TxBrd_P154_DIO31_POOL_Grounded,P154_6571_DIO_31,POOL_Grounded,-0.5,0.5,,V,,Numeric Limit,,
2720,TxBrd_P154_DIO24_WinComp_Inside,P154_6571_DIO_24,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2730,TxBrd_P154_DIO25_WinComp_Inside,P154_6571_DIO_25,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2740,TxBrd_P154_DIO26_WinComp_Inside,P154_6571_DIO_26,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2750,TxBrd_P154_DIO27_WinComp_Inside,P154_6571_DIO_27,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2760,TxBrd_P154_DIO28_WinComp_Inside,P154_6571_DIO_28,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2770,TxBrd_P154_DIO29_WinComp_Inside,P154_6571_DIO_29,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2780,TxBrd_P154_DIO30_WinComp_Inside,P154_6571_DIO_30,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2790,TxBrd_P154_DIO31_WinComp_Inside,P154_6571_DIO_31,WinComp_Inside,-1.1,-0.7,,V,,Numeric Limit,,
2800,TxBrd_P154_DIO24_WinComp_Outside,P154_6571_DIO_24,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2810,TxBrd_P154_DIO25_WinComp_Outside,P154_6571_DIO_25,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2820,TxBrd_P154_DIO26_WinComp_Outside,P154_6571_DIO_26,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2830,TxBrd_P154_DIO27_WinComp_Outside,P154_6571_DIO_27,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2840,TxBrd_P154_DIO28_WinComp_Outside,P154_6571_DIO_28,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2850,TxBrd_P154_DIO29_WinComp_Outside,P154_6571_DIO_29,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2860,TxBrd_P154_DIO30_WinComp_Outside,P154_6571_DIO_30,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2870,TxBrd_P154_DIO31_WinComp_Outside,P154_6571_DIO_31,WinComp_Outside,-1.9,-1.5,,V,,Numeric Limit,,
2880,TxBrd_HMOD1_Droop,P143_4081_DMM,HMOD1_Droop,0.003,0.008,,V,,Numeric Limit,,
2890,TxBrd_HMOD2_Droop,P143_4081_DMM,HMOD2_Droop,0.003,0.008,,V,,Numeric Limit,,
2900,TxBrd_HMOD3_Droop,P143_4081_DMM,HMOD3_Droop,0.003,0.008,,V,,Numeric Limit,,
2910,TxBrd_HMOD4_Droop,P143_4081_DMM,HMOD4_Droop,0.003,0.008,,V,,Numeric Limit,,
2920,TxBrd_HMOD5_Droop,P143_4081_DMM,HMOD5_Droop,0.003,0.008,,V,,Numeric Limit,,
2930,TxBrd_HMOD6_Droop,P143_4081_DMM,HMOD6_Droop,0.003,0.008,,V,,Numeric Limit,,
2940,TxBrd_HMOD7_Droop,P143_4081_DMM,HMOD7_Droop,0.003,0.008,,V,,Numeric Limit,,
2950,TxBrd_HMOD8_Droop,P143_4081_DMM,HMOD8_Droop,0.003,0.008,,V,,Numeric Limit,,
2960,TxBrd_HMOD9_Droop,P143_4081_DMM,HMOD9_Droop,0.003,0.008,,V,,Numeric Limit,,
2970,TxBrd_HMOD10_Droop,P143_4081_DMM,HMOD10_Droop,0.003,0.008,,V,,Numeric Limit,,
2980,TxBrd_HMOD11_Droop,P143_4081_DMM,HMOD11_Droop,0.003,0.008,,V,,Numeric Limit,,
2990,TxBrd_HMOD12_Droop,P143_4081_DMM,HMOD12_Droop,0.003,0.008,,V,,Numeric Limit,,
3000,TxBrd_HMOD13_Droop,P143_4081_DMM,HMOD13_Droop,0.003,0.008,,V,,Numeric Limit,,
3010,TxBrd_HMOD14_Droop,P143_4081_DMM,HMOD14_Droop,0.05,0.115,,V,,Numeric Limit,,
3020,TxBrd_HMOD15_Droop,P143_4081_DMM,HMOD15_Droop,0.05,0.115,,V,,Numeric Limit,,
3030,TxBrd_HMOD16_Droop,P143_4081_DMM,HMOD16_Droop,0.05,0.115,,V,,Numeric Limit,,
3040,TxBrd_HMOD17_Droop,P143_4081_DMM,HMOD17_Droop,0.05,0.115,,V,,Numeric Limit,,
3050,TxBrd_HMOD19_Droop,P143_4081_DMM,HMOD19_Droop,0.05,0.115,,V,,Numeric Limit,,
3060,TxBrd_HMOD20_Droop,P143_4081_DMM,HMOD20_Droop,0.05,0.115,,V,,Numeric Limit,,
3070,TxBrd_HMOD21_Droop,P143_4081_DMM,HMOD21_Droop,0.05,0.115,,V,,Numeric Limit,,
3080,TxBrd_HMOD22_Droop,P143_4081_DMM,HMOD22_Droop,0.05,0.115,,V,,Numeric Limit,,
3090,TxBrd_HMOD23_Droop,P143_4081_DMM,HMOD23_Droop,0.05,0.115,,V,,Numeric Limit,,
