--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
  1840   TxBrd_P170_6571_DIO_25_HSD_LO_Voltage          60       2.9849       0.0011        2.9833       2.9865       0.0032        2.500        3.500   V
  1850   TxBrd_P170_6571_DIO_26_HSD_LO_Voltage          60       2.9854   0.9341E-03        2.9839       2.9866       0.0027        2.500        3.500   V
  1860   TxBrd_P170_6571_DIO_27_HSD_LO_Voltage          60       2.9852   0.8038E-03        2.9840       2.9864       0.0024        2.500        3.500   V
  1870   TxBrd_P170_6571_DIO_29_HSD_LO_Voltage          60       2.9854   0.8241E-03        2.9840       2.9865       0.0025        2.500        3.500   V
  1880   TxBrd_P170_6571_DIO_30_HSD_LO_Voltage          60       2.9851   0.9449E-03        2.9836       2.9865       0.0029        2.500        3.500   V
  1890   TxBrd_P170_6571_DIO_31_HSD_LO_Voltage          60       2.9850   0.8068E-03        2.9836       2.9862       0.0026        2.500        3.500   V
  1900   TxBrd_P146_6571_DIO_1_HSD_LO_Voltage           60       2.9859   0.4089E-03        2.9852       2.9867       0.0015        2.500        3.500   V
  1910   TxBrd_P146_6571_DIO_2_HSD_LO_Voltage           60       2.9860   0.4624E-03        2.9851       2.9868       0.0017        2.500        3.500   V
  1920   TxBrd_P146_6571_DIO_3_HSD_LO_Voltage           60       2.9857   0.4257E-03        2.9849       2.9865       0.0015        2.500        3.500   V
  1930   TxBrd_P146_6571_DIO_5_HSD_LO_Voltage           60       2.9851       0.0011        2.9836       2.9867       0.0031        2.500        3.500   V
  1940   TxBrd_P146_6571_DIO_6_HSD_LO_Voltage           60       2.9852       0.0010        2.9835       2.9868       0.0033        2.500        3.500   V
  1950   TxBrd_P146_6571_DIO_7_HSD_LO_Voltage           60       2.9849       0.0010        2.9836       2.9863       0.0027        2.500        3.500   V
  1960   TxBrd_P146_6571_DIO_9_HSD_LO_Voltage           60       2.9866   0.6118E-03        2.9858       2.9877       0.0019        2.500        3.500   V
  1970   TxBrd_P146_6571_DIO_10_HSD_LO_Voltage          60       2.9863   0.7018E-03        2.9853       2.9876       0.0024        2.500        3.500   V
  1980   TxBrd_P146_6571_DIO_11_HSD_LO_Voltage          60       2.9860   0.7288E-03        2.9849       2.9874       0.0025        2.500        3.500   V
  1990   TxBrd_P146_6571_DIO_13_HSD_LO_Voltage          60       2.9850   0.5159E-03        2.9840       2.9858       0.0018        2.500        3.500   V
  2000   TxBrd_P146_6571_DIO_14_HSD_LO_Voltage          60       2.9859   0.6342E-03        2.9848       2.9871       0.0022        2.500        3.500   V
  2010   TxBrd_P146_6571_DIO_15_HSD_LO_Voltage          60       2.9857   0.6247E-03        2.9848       2.9868       0.0020        2.500        3.500   V
  2020   TxBrd_P146_6571_DIO_17_HSD_LO_Voltage          60       2.9877   0.4314E-03        2.9867       2.9883       0.0016        2.500        3.500   V
  2030   TxBrd_P146_6571_DIO_18_HSD_LO_Voltage          60       2.9873   0.5050E-03        2.9865       2.9883       0.0019        2.500        3.500   V
  2040   TxBrd_P146_6571_DIO_19_HSD_LO_Voltage          60       2.9875   0.4751E-03        2.9866       2.9883       0.0017        2.500        3.500   V
  2050   TxBrd_P146_6571_DIO_21_HSD_LO_Voltage          60       2.9889   0.3030E-03        2.9881       2.9894       0.0012        2.500        3.500   V
  2060   TxBrd_P146_6571_DIO_22_HSD_LO_Voltage          60       2.9882   0.2736E-03        2.9876       2.9890       0.0014        2.500        3.500   V
  2070   TxBrd_P146_6571_DIO_23_HSD_LO_Voltage          60       2.9884   0.3327E-03        2.9877       2.9889       0.0012        2.500        3.500   V
  2080   TxBrd_P146_6571_DIO_25_HSD_LO_Voltage          60       2.9870   0.8619E-03        2.9858       2.9882       0.0024        2.500        3.500   V
  2090   TxBrd_P146_6571_DIO_26_HSD_LO_Voltage          60       2.9872   0.7189E-03        2.9860       2.9882       0.0022        2.500        3.500   V
  2100   TxBrd_P146_6571_DIO_27_HSD_LO_Voltage          60       2.9874   0.7511E-03        2.9862       2.9886       0.0024        2.500        3.500   V
  2110   TxBrd_P146_6571_DIO_29_HSD_LO_Voltage          60       2.9863   0.5945E-03        2.9854       2.9873       0.0019        2.500        3.500   V
  2120   TxBrd_P146_6571_DIO_30_HSD_LO_Voltage          60       2.9858   0.6136E-03        2.9849       2.9870       0.0021        2.500        3.500   V
  2130   TxBrd_P146_6571_DIO_31_HSD_LO_Voltage          60       2.9861   0.4999E-03        2.9851       2.9871       0.0020        2.500        3.500   V
  2140   TxBrd_P154_6571_DIO_1_HSD_LO_Voltage           60       2.9866   0.7671E-03        2.9856       2.9877       0.0021        2.500        3.500   V
  2150   TxBrd_P154_6571_DIO_2_HSD_LO_Voltage           60       2.9865   0.8021E-03        2.9853       2.9876       0.0023        2.500        3.500   V
  2160   TxBrd_P154_6571_DIO_3_HSD_LO_Voltage           60       2.9863   0.8747E-03        2.9848       2.9874       0.0025        2.500        3.500   V
  2170   TxBrd_P154_6571_DIO_5_HSD_LO_Voltage           60       2.9844       0.0013        2.9828       2.9863       0.0036        2.500        3.500   V
  2180   TxBrd_P154_6571_DIO_6_HSD_LO_Voltage           60       2.9842       0.0014        2.9822       2.9861       0.0039        2.500        3.500   V
  2190   TxBrd_P154_6571_DIO_7_HSD_LO_Voltage           60       2.9834   0.9961E-03        2.9818       2.9847       0.0029        2.500        3.500   V
  2200   TxBrd_P154_6571_DIO_9_HSD_LO_Voltage           60       2.9869       0.0010        2.9854       2.9882       0.0028        2.500        3.500   V
  2210   TxBrd_P154_6571_DIO_10_HSD_LO_Voltage          60       2.9864   0.9732E-03        2.9850       2.9878       0.0028        2.500        3.500   V
  2220   TxBrd_P154_6571_DIO_11_HSD_LO_Voltage          60       2.9863   0.9555E-03        2.9849       2.9876       0.0027        2.500        3.500   V
  2230   TxBrd_P154_6571_DIO_13_HSD_LO_Voltage          60       2.9860   0.9394E-03        2.9847       2.9873       0.0025        2.500        3.500   V
  2240   TxBrd_P154_6571_DIO_14_HSD_LO_Voltage          60       2.9852       0.0027        2.9823       2.9886       0.0063        2.500        3.500   V
  2250   TxBrd_P154_6571_DIO_15_HSD_LO_Voltage          60       2.9868   0.9079E-03        2.9854       2.9882       0.0028        2.500        3.500   V
  2260   TxBrd_P154_DIO24_POOL_Open                     60       5.8141       0.0118        5.8015       5.8265       0.0250        3.000        6.000   V
  2270   TxBrd_P154_DIO25_POOL_Open                     60       5.8037       0.0094        5.7939       5.8137       0.0198        3.000        6.000   V
  2280   TxBrd_P154_DIO26_POOL_Open                     60       5.8133       0.0050        5.8080       5.8188       0.0108        3.000        6.000   V
  2290   TxBrd_P154_DIO27_POOL_Open                     60       5.8100       0.0027        5.8069       5.8135       0.0066        3.000        6.000   V
  2300   TxBrd_P154_DIO28_POOL_Open                     60       5.8153       0.0036        5.8114       5.8194       0.0080        3.000        6.000   V
  2310   TxBrd_P154_DIO29_POOL_Open                     60       5.8189       0.0022        5.8161       5.8214       0.0053        3.000        6.000   V
  2320   TxBrd_P154_DIO30_POOL_Open                     60       5.8164   0.8100E-03        5.8152       5.8179       0.0027        3.000        6.000   V
  2330   TxBrd_P154_DIO31_POOL_Open                     60       5.8132   0.5334E-03        5.8123       5.8143       0.0020        3.000        6.000   V
  2340   TxBrd_P154_DIO24_POOL_Grounded                 60       0.0275       0.0011        0.0261       0.0290       0.0029       -0.500        0.500   V
  2350   TxBrd_P154_DIO25_POOL_Grounded                 60       0.0279   0.2808E-03        0.0274       0.0284       0.0010       -0.500        0.500   V
  2360   TxBrd_P154_DIO26_POOL_Grounded                 60       0.0263   0.1388E-03        0.0260       0.0265   0.5634E-03       -0.500        0.500   V
  2370   TxBrd_P154_DIO27_POOL_Grounded                 60       0.0267   0.3704E-03        0.0262       0.0273       0.0011       -0.500        0.500   V
  2380   TxBrd_P154_DIO28_POOL_Grounded                 60       0.0248   0.1851E-03        0.0243       0.0253       0.0010       -0.500        0.500   V
  2390   TxBrd_P154_DIO29_POOL_Grounded                 60       0.0253   0.6592E-03        0.0246       0.0262       0.0016       -0.500        0.500   V
  2400   TxBrd_P154_DIO30_POOL_Grounded                 60       0.0264   0.5168E-03        0.0256       0.0272       0.0016       -0.500        0.500   V
  2410   TxBrd_P154_DIO31_POOL_Grounded                 60       0.0272   0.4459E-03        0.0264       0.0280       0.0016       -0.500        0.500   V
  2420   TxBrd_P154_DIO24_WinComp_Inside                60      -0.9117   0.6171E-03       -0.9127      -0.9109       0.0017       -1.100       -0.700   V
  2430   TxBrd_P154_DIO25_WinComp_Inside                60      -0.9173   0.2654E-03       -0.9180      -0.9169       0.0010       -1.100       -0.700   V
  2440   TxBrd_P154_DIO26_WinComp_Inside                60      -0.9177   0.2553E-03       -0.9180      -0.9172   0.7801E-03       -1.100       -0.700   V
  2450   TxBrd_P154_DIO27_WinComp_Inside                60      -0.9196   0.1910E-03       -0.9199      -0.9192   0.7362E-03       -1.100       -0.700   V
  2460   TxBrd_P154_DIO28_WinComp_Inside                60      -0.9190   0.2006E-03       -0.9195      -0.9185       0.0010       -1.100       -0.700   V
  2470   TxBrd_P154_DIO29_WinComp_Inside                60      -0.9188   0.1958E-03       -0.9192      -0.9185   0.7279E-03       -1.100       -0.700   V
  2480   TxBrd_P154_DIO30_WinComp_Inside                60      -0.9180   0.1825E-03       -0.9184      -0.9177   0.7268E-03       -1.100       -0.700   V
  2490   TxBrd_P154_DIO31_WinComp_Inside                60      -0.9156   0.1670E-03       -0.9160      -0.9153   0.6935E-03       -1.100       -0.700   V
  2500   TxBrd_P154_DIO24_WinComp_Outside               60      -1.7073       0.0010       -1.7084      -1.7060       0.0024       -1.900       -1.500   V
  2510   TxBrd_P154_DIO25_WinComp_Outside               60      -1.7188   0.3844E-03       -1.7194      -1.7182       0.0013       -1.900       -1.500   V
  2520   TxBrd_P154_DIO26_WinComp_Outside               60      -1.7165   0.4131E-03       -1.7172      -1.7157       0.0015       -1.900       -1.500   V
  2530   TxBrd_P154_DIO27_WinComp_Outside               60      -1.7225   0.3330E-03       -1.7232      -1.7220       0.0012       -1.900       -1.500   V
  2540   TxBrd_P154_DIO28_WinComp_Outside               60      -1.7168   0.4839E-03       -1.7175      -1.7161       0.0015       -1.900       -1.500   V
  2550   TxBrd_P154_DIO29_WinComp_Outside               60      -1.7202   0.2906E-03       -1.7207      -1.7197   0.9596E-03       -1.900       -1.500   V
  2560   TxBrd_P154_DIO30_WinComp_Outside               60      -1.7181   0.2100E-03       -1.7185      -1.7178   0.7498E-03       -1.900       -1.500   V
  2570   TxBrd_P154_DIO31_WinComp_Outside               60      -1.7119   0.1597E-03       -1.7123      -1.7116   0.6863E-03       -1.900       -1.500   V
  2580   TxBrd_HMOD1_Droop                              60       0.0044   0.2795E-03        0.0038       0.0050       0.0012        0.003        0.008   V
  2590   TxBrd_HMOD2_Droop                              60       0.0045   0.2571E-03        0.0038       0.0051       0.0014        0.003        0.008   V
  2600   TxBrd_HMOD3_Droop                              60       0.0042   0.2666E-03        0.0038       0.0050       0.0012        0.003        0.008   V
  2610   TxBrd_HMOD4_Droop                              60       0.0044   0.2868E-03        0.0038       0.0049       0.0011        0.003        0.008   V
  2620   TxBrd_HMOD5_Droop                              60       0.0043   0.2663E-03        0.0038       0.0050       0.0012        0.003        0.008   V
  2630   TxBrd_HMOD6_Droop                              60       0.0045   0.2987E-03        0.0038       0.0052       0.0014        0.003        0.008   V
  2640   TxBrd_HMOD7_Droop                              60       0.0045   0.2884E-03        0.0036       0.0050       0.0014        0.003        0.008   V
  2650   TxBrd_HMOD8_Droop                              60       0.0045   0.2745E-03        0.0037       0.0050       0.0013        0.003        0.008   V
  2660   TxBrd_HMOD9_Droop                              60       0.0045   0.2802E-03        0.0040       0.0051       0.0012        0.003        0.008   V
  2670   TxBrd_HMOD10_Droop                             60       0.0045   0.2724E-03        0.0039       0.0051       0.0012        0.003        0.008   V
  2680   TxBrd_HMOD11_Droop                             60       0.0045   0.2528E-03        0.0039       0.0050       0.0010        0.003        0.008   V
  2690   TxBrd_HMOD12_Droop                             60       0.0045   0.2933E-03        0.0038       0.0052       0.0013        0.003        0.008   V
  2700   TxBrd_HMOD13_Droop                             60       0.0044   0.2917E-03        0.0038       0.0051       0.0013        0.003        0.008   V
  2710   TxBrd_HMOD14_Droop                             60       0.0760       0.0020        0.0736       0.0784       0.0048        0.050        0.115   V
  2720   TxBrd_HMOD15_Droop                             60       0.0764       0.0021        0.0740       0.0790       0.0050        0.050        0.115   V
  2730   TxBrd_HMOD16_Droop                             60       0.0764       0.0021        0.0739       0.0791       0.0052        0.050        0.115   V
  2740   TxBrd_HMOD17_Droop                             60       0.0764       0.0021        0.0739       0.0789       0.0050        0.050        0.115   V
  2750   TxBrd_HMOD19_Droop                             60       0.0763       0.0018        0.0741       0.0784       0.0043        0.050        0.115   V
  2760   TxBrd_HMOD20_Droop                             60       0.0763       0.0019        0.0740       0.0788       0.0048        0.050        0.115   V
  2770   TxBrd_HMOD21_Droop                             60       0.0765       0.0021        0.0741       0.0790       0.0049        0.050        0.115   V
  2780   TxBrd_HMOD22_Droop                             60       0.0764       0.0018        0.0743       0.0787       0.0044        0.050        0.115   V
  2790   TxBrd_HMOD23_Droop                             60       0.0769       0.0021        0.0744       0.0793       0.0048        0.050        0.115   V
    -1   Test Site Number                               60       0.0000       0.0000        0.0000       0.0000       0.0000          N/A          N/A    
    -2   Test Head Number                               60       1.0000       0.0000        1.0000       1.0000       0.0000          N/A          N/A    
    -3   Wafer Number                                   60       0.0000       0.0000        0.0000       0.0000       0.0000          N/A          N/A    
    -4   Wafer X Coordinate                             60   -32.768E+03       0.0000    -32.768E+03   -32.768E+03       0.0000          N/A          N/A    
    -5   Wafer Y Coordinate                             60   -32.768E+03       0.0000    -32.768E+03   -32.768E+03       0.0000          N/A          N/A    

