--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
   470   TxBrd_DC30V_SL24_CH10_LO_Current               60   0.9998E-03   0.0459E-06    0.9997E-03   0.9998E-03   0.1569E-06    0.500E-03        0.002   A
   480   TxBrd_DC30V_SL24_CH12_LO_Current               60   0.9997E-03   0.0328E-06    0.9996E-03   0.9997E-03   0.1356E-06    0.500E-03        0.002   A
   500   TxBrd_DC30V_SL24_CH16_LO_Current               60   0.9997E-03   0.1989E-06    0.9995E-03   0.9999E-03   0.4671E-06    0.500E-03        0.002   A
   510   TxBrd_DC30V_SL24_CH18_LO_Current               60   0.9997E-03   0.0785E-06    0.9995E-03   0.9998E-03   0.2295E-06    0.500E-03        0.002   A
   520   TxBrd_DC30V_SL24_CH20_LO_Current               60   0.9997E-03   0.1394E-06    0.9995E-03   0.9998E-03   0.3739E-06    0.500E-03        0.002   A
   530   TxBrd_DC30V_SL10_CH2_LO_Current                60   0.9999E-03   0.0434E-06    0.9998E-03   0.9999E-03   0.1426E-06    0.500E-03        0.002   A
   540   TxBrd_DC30V_SL10_CH4_LO_Current                60   0.9998E-03   0.2529E-06    0.9995E-03       0.0010   0.5789E-06    0.500E-03        0.002   A
   550   TxBrd_DC30V_SL10_CH6_LO_Current                60       0.0010   0.0305E-06    1.0000E-03       0.0010   0.1270E-06    0.500E-03        0.002   A
   560   TxBrd_DC30V_SL10_CH8_LO_Current                60   0.9998E-03   0.0326E-06    0.9998E-03   0.9999E-03   0.1482E-06    0.500E-03        0.002   A
   570   TxBrd_DC30V_SL10_CH10_LO_Current               60   0.9998E-03   0.0692E-06    0.9997E-03   0.9999E-03   0.2163E-06    0.500E-03        0.002   A
   580   TxBrd_DC30V_SL10_CH12_LO_Current               60   0.9996E-03   0.0492E-06    0.9995E-03   0.9997E-03   0.2282E-06    0.500E-03        0.002   A
   590   TxBrd_DC30V_SL10_CH14_LO_Current               60   0.9998E-03   0.0925E-06    0.9997E-03   0.9999E-03   0.2832E-06    0.500E-03        0.002   A
   600   TxBrd_DC30V_SL10_CH16_LO_Current               60   0.9998E-03   0.2233E-06    0.9995E-03       0.0010   0.5333E-06    0.500E-03        0.002   A
   610   TxBrd_DC30V_SL10_CH18_LO_Current               60   0.9997E-03   0.0480E-06    0.9996E-03   0.9997E-03   0.1689E-06    0.500E-03        0.002   A
   620   TxBrd_DC30V_SL10_CH20_LO_Current               60   0.9998E-03   0.2227E-06    0.9996E-03       0.0010   0.5140E-06    0.500E-03        0.002   A
   630   TxBrd_DC30V_SL04_CH2_LO_Current                60   0.9999E-03   0.1934E-06    0.9997E-03       0.0010   0.4552E-06    0.500E-03        0.002   A
   640   TxBrd_DC30V_SL04_CH4_LO_Current                60   0.9998E-03   0.0946E-06    0.9997E-03   1.0000E-03   0.3044E-06    0.500E-03        0.002   A
   650   TxBrd_DC30V_SL04_CH6_LO_Current                60   0.9999E-03   0.1116E-06    0.9997E-03       0.0010   0.3026E-06    0.500E-03        0.002   A
   660   TxBrd_DC30V_SL04_CH8_LO_Current                60   0.9998E-03   0.1126E-06    0.9996E-03   0.9999E-03   0.3144E-06    0.500E-03        0.002   A
   670   TxBrd_DC30V_SL04_CH10_LO_Current               60       0.0010   0.1929E-06    0.9998E-03       0.0010   0.4771E-06    0.500E-03        0.002   A
   680   TxBrd_DC30V_SL04_CH12_LO_Current               60   0.9997E-03   0.0377E-06    0.9996E-03   0.9998E-03   0.2244E-06    0.500E-03        0.002   A
   690   TxBrd_DC30V_SL04_CH14_LO_Current               60   0.9999E-03   0.0360E-06    0.9998E-03   1.0000E-03   0.1525E-06    0.500E-03        0.002   A
   700   TxBrd_DC30V_SL04_CH16_LO_Current               60   0.9998E-03   0.1061E-06    0.9996E-03   0.9999E-03   0.2739E-06    0.500E-03        0.002   A
   710   TxBrd_DC30V_SL04_CH18_LO_Current               60   0.9999E-03   0.0220E-06    0.9998E-03   0.9999E-03   0.1175E-06    0.500E-03        0.002   A
   720   TxBrd_DC30V_SL04_CH20_LO_Current               60   0.9999E-03   0.1267E-06    0.9997E-03       0.0010   0.3251E-06    0.500E-03        0.002   A
   730   TxBrd_DC90V_SL23_1A_Voltage                    60       5.0000   0.5246E-06        5.0000       5.0000   0.0024E-03        4.500        5.500   V
   740   TxBrd_DC90V_SL23_2A_Voltage                    60       5.0000   0.4099E-06        5.0000       5.0000   0.0019E-03        4.500        5.500   V
   750   TxBrd_DC90V_SL23_3A_Voltage                    60       5.0000   0.4806E-06        5.0000       5.0000   0.0019E-03        4.500        5.500   V
   760   TxBrd_DC90V_SL23_4A_Voltage                    60       5.0000   0.4809E-06        5.0000       5.0000   0.0024E-03        4.500        5.500   V
   770   TxBrd_DC90V_SL23_1B_Voltage                    60       5.0000   0.5812E-06        5.0000       5.0000   0.0024E-03        4.500        5.500   V
